## created with command:
## bgzip -d -c gnomad.v2.1.1.lof_metrics.by_gene.txt.bgz | cut -f 1,2,21,24,29,30 > gnomad.v2.1.1.gene-constraints.tsv
## pLI (probability of being loss-of-function intolerant)
## pLI scores closer to one indicate more intolerance to protein-truncating variation. For a set of transcripts
## intolerant of protein-truncating variation, we suggest pLI ≥ 0.9.
##
## Observed / expected (oe)
## The constraint score shown in gnomAD is the ratio of the observed / expected (oe) number of loss-of-function variants
## in that gene. The expected counts are based on a mutational model that takes sequence context, coverage and methylation
## into account.
## Interpretation
## Observed/expected (oe) is a continuous measure of how tolerant a gene is to a certain class of variation
## (e.g. loss-of-function). When a gene has a low oe value, it is under stronger selection for that class of variation
## than a gene with a higher value. Because counts depend on gene size and sample size, the precision of the oe values
## varies a lot from one gene to the next. Therefore in addition to the oe value, we also display the 90% confidence
## interval (CI) for each of the oe values. When evaluating how constrained a gene is, it is essential to take the 90%
## CI into consideration.
## Although oe is a continuous value, we understand that it can be useful to use a threshold for certain applications. In
## particular, for the interpretation of Mendelian diseases cases, we suggest using the upper bound of the oe CI < 0.35
## as a threshold if needed. Again, ideally oe should be used as a continuous value rather than a cutoff and evaluating
## the oe 90% CI is a must.
#gene	transcript	pLI	oe_lof	oe_lof_lower	oe_lof_upper
SMARCA5	ENST00000283131	1.0000e+00	1.5690e-02	5.0000e-03	7.4000e-02
TSC2	ENST00000219476	1.0000e+00	2.3406e-02	9.0000e-03	7.4000e-02
SUPT5H	ENST00000599117	1.0000e+00	1.5513e-02	5.0000e-03	7.4000e-02
GREB1L	ENST00000580732	1.0000e+00	2.3739e-02	9.0000e-03	7.5000e-02
PTCH1	ENST00000331920	1.0000e+00	1.5809e-02	5.0000e-03	7.5000e-02
CHD7	ENST00000423902	1.0000e+00	3.6285e-02	1.8000e-02	7.6000e-02
RAD54L2	ENST00000409535	1.0000e+00	1.6026e-02	5.0000e-03	7.6000e-02
CNOT3	ENST00000406403	1.0000e+00	0.0000e+00	0.0000e+00	7.6000e-02
AHDC1	ENST00000374011	1.0000e+00	0.0000e+00	0.0000e+00	7.6000e-02
U2SURP	ENST00000473835	1.0000e+00	1.6335e-02	5.0000e-03	7.7000e-02
RBM25	ENST00000261973	1.0000e+00	1.6196e-02	5.0000e-03	7.7000e-02
GIGYF2	ENST00000409451	1.0000e+00	2.9970e-02	1.3000e-02	7.7000e-02
MBTD1	ENST00000586178	1.0000e+00	0.0000e+00	0.0000e+00	7.7000e-02
DCAF5	ENST00000341516	1.0000e+00	0.0000e+00	0.0000e+00	7.8000e-02
SUV420H1	ENST00000304363	1.0000e+00	0.0000e+00	0.0000e+00	7.8000e-02
RABGAP1	ENST00000373647	1.0000e+00	1.6372e-02	5.0000e-03	7.8000e-02
KHSRP	ENST00000398148	1.0000e+00	0.0000e+00	0.0000e+00	7.8000e-02
TM9SF2	ENST00000376387	1.0000e+00	0.0000e+00	0.0000e+00	7.9000e-02
MATR3	ENST00000394805	1.0000e+00	0.0000e+00	0.0000e+00	7.9000e-02
PHF21A	ENST00000418153	1.0000e+00	0.0000e+00	0.0000e+00	8.0000e-02
NAV1	ENST00000367296	1.0000e+00	2.5417e-02	9.0000e-03	8.0000e-02
HIVEP2	ENST00000367603	1.0000e+00	2.5372e-02	9.0000e-03	8.0000e-02
OGT	ENST00000373719	1.0000e+00	0.0000e+00	0.0000e+00	8.0000e-02
RBBP6	ENST00000319715	1.0000e+00	2.5497e-02	9.0000e-03	8.0000e-02
GTPBP4	ENST00000360803	1.0000e+00	0.0000e+00	0.0000e+00	8.0000e-02
MYBL1	ENST00000522677	1.0000e+00	0.0000e+00	0.0000e+00	8.0000e-02
TEX11	ENST00000395889	1.0000e+00	0.0000e+00	0.0000e+00	8.0000e-02
DYNC1H1	ENST00000360184	1.0000e+00	4.8236e-02	2.9000e-02	8.0000e-02
SBNO1	ENST00000420886	1.0000e+00	2.5601e-02	9.0000e-03	8.1000e-02
THOC2	ENST00000245838	1.0000e+00	1.6971e-02	5.0000e-03	8.1000e-02
PRKCB	ENST00000303531	1.0000e+00	0.0000e+00	0.0000e+00	8.1000e-02
INO80	ENST00000361937	1.0000e+00	3.1343e-02	1.3000e-02	8.1000e-02
TAF4	ENST00000252996	1.0000e+00	0.0000e+00	0.0000e+00	8.1000e-02
FLNA	ENST00000369850	1.0000e+00	2.6140e-02	1.0000e-02	8.2000e-02
TRIM28	ENST00000253024	1.0000e+00	0.0000e+00	0.0000e+00	8.2000e-02
CHD8	ENST00000399982	1.0000e+00	3.8764e-02	1.9000e-02	8.2000e-02
RBM33	ENST00000401878	1.0000e+00	1.7334e-02	5.0000e-03	8.2000e-02
SNRNP200	ENST00000323853	1.0000e+00	3.5815e-02	1.7000e-02	8.2000e-02
XPO6	ENST00000304658	1.0000e+00	1.7294e-02	5.0000e-03	8.2000e-02
SMARCAD1	ENST00000359052	1.0000e+00	1.7414e-02	5.0000e-03	8.3000e-02
FRMPD4	ENST00000380682	1.0000e+00	0.0000e+00	0.0000e+00	8.3000e-02
MACF1	ENST00000545844	1.0000e+00	5.6465e-02	3.8000e-02	8.4000e-02
WAC	ENST00000354911	1.0000e+00	0.0000e+00	0.0000e+00	8.4000e-02
BRWD3	ENST00000373275	1.0000e+00	2.6535e-02	1.0000e-02	8.4000e-02
C17orf104	ENST00000409122	1.0000e+00	0.0000e+00	0.0000e+00	8.4000e-02
ATP2B1	ENST00000428670	1.0000e+00	1.7765e-02	5.0000e-03	8.4000e-02
EIF4G2	ENST00000526148	1.0000e+00	1.7981e-02	5.0000e-03	8.5000e-02
ZNF462	ENST00000277225	1.0000e+00	3.2888e-02	1.4000e-02	8.5000e-02
WDR26	ENST00000414423	1.0000e+00	0.0000e+00	0.0000e+00	8.5000e-02
CUL4B	ENST00000404115	1.0000e+00	0.0000e+00	0.0000e+00	8.5000e-02
TRIM33	ENST00000358465	1.0000e+00	1.8203e-02	5.0000e-03	8.6000e-02
STXBP1	ENST00000373302	1.0000e+00	0.0000e+00	0.0000e+00	8.6000e-02
TOPBP1	ENST00000260810	1.0000e+00	2.7431e-02	1.0000e-02	8.6000e-02
NF2	ENST00000338641	1.0000e+00	0.0000e+00	0.0000e+00	8.6000e-02
TET3	ENST00000409262	1.0000e+00	1.8143e-02	5.0000e-03	8.6000e-02
MN1	ENST00000302326	9.9999e-01	0.0000e+00	0.0000e+00	8.7000e-02
SUPT6H	ENST00000314616	1.0000e+00	3.7832e-02	1.8000e-02	8.7000e-02
RP11-762I7.5	ENST00000546837	1.0000e+00	0.0000e+00	0.0000e+00	8.7000e-02
NHS	ENST00000380060	9.9999e-01	0.0000e+00	0.0000e+00	8.7000e-02
RPS6KA3	ENST00000379565	9.9999e-01	0.0000e+00	0.0000e+00	8.7000e-02
MYT1L	ENST00000428368	1.0000e+00	1.8386e-02	6.0000e-03	8.7000e-02
UBP1	ENST00000283629	9.9999e-01	0.0000e+00	0.0000e+00	8.8000e-02
PLCL2	ENST00000418129	9.9999e-01	0.0000e+00	0.0000e+00	8.8000e-02
SPTBN1	ENST00000356805	1.0000e+00	4.1887e-02	2.1000e-02	8.8000e-02
MYH9	ENST00000216181	1.0000e+00	3.8313e-02	1.8000e-02	8.8000e-02
ZDHHC5	ENST00000287169	9.9999e-01	0.0000e+00	0.0000e+00	8.8000e-02
LUC7L3	ENST00000505658	9.9999e-01	0.0000e+00	0.0000e+00	8.9000e-02
COPB2	ENST00000333188	1.0000e+00	1.8746e-02	6.0000e-03	8.9000e-02
DNAJC14	ENST00000357606	9.9999e-01	0.0000e+00	0.0000e+00	8.9000e-02
RNF17	ENST00000255324	1.0000e+00	3.4290e-02	1.5000e-02	8.9000e-02
ANK3	ENST00000280772	1.0000e+00	4.9308e-02	2.8000e-02	8.9000e-02
F8	ENST00000360256	1.0000e+00	2.8416e-02	1.1000e-02	8.9000e-02
TM9SF3	ENST00000371142	9.9999e-01	0.0000e+00	0.0000e+00	9.0000e-02
DLG3	ENST00000374360	9.9999e-01	0.0000e+00	0.0000e+00	9.0000e-02
MGA	ENST00000219905	1.0000e+00	4.2833e-02	2.1000e-02	9.0000e-02
ANKRD52	ENST00000267116	1.0000e+00	1.8933e-02	6.0000e-03	9.0000e-02
STAG2	ENST00000218089	1.0000e+00	1.8923e-02	6.0000e-03	9.0000e-02
SATB2	ENST00000417098	9.9999e-01	0.0000e+00	0.0000e+00	9.1000e-02
USP34	ENST00000398571	1.0000e+00	5.4952e-02	3.4000e-02	9.1000e-02
MAP3K2	ENST00000409947	9.9999e-01	0.0000e+00	0.0000e+00	9.1000e-02
PREX1	ENST00000371941	1.0000e+00	3.5185e-02	1.5000e-02	9.1000e-02
MED14	ENST00000324817	1.0000e+00	1.9330e-02	6.0000e-03	9.2000e-02
CYFIP2	ENST00000521420	1.0000e+00	2.9307e-02	1.1000e-02	9.2000e-02
ZNF407	ENST00000299687	1.0000e+00	2.9252e-02	1.1000e-02	9.2000e-02
KPNB1	ENST00000290158	1.0000e+00	1.9307e-02	6.0000e-03	9.2000e-02
ETV5	ENST00000306376	9.9999e-01	0.0000e+00	0.0000e+00	9.2000e-02
CUL2	ENST00000537177	1.0000e+00	1.9602e-02	6.0000e-03	9.3000e-02
HNRNPM	ENST00000325495	9.9999e-01	0.0000e+00	0.0000e+00	9.3000e-02
PIAS1	ENST00000249636	9.9999e-01	0.0000e+00	0.0000e+00	9.4000e-02
DAAM2	ENST00000398904	1.0000e+00	1.9827e-02	6.0000e-03	9.4000e-02
EFTUD2	ENST00000426333	1.0000e+00	1.9846e-02	6.0000e-03	9.4000e-02
YTHDC1	ENST00000344157	1.0000e+00	1.9789e-02	6.0000e-03	9.4000e-02
NCBP1	ENST00000375147	1.0000e+00	1.9877e-02	6.0000e-03	9.4000e-02
TCF20	ENST00000359486	1.0000e+00	3.0129e-02	1.1000e-02	9.5000e-02
DLL1	ENST00000366756	9.9999e-01	0.0000e+00	0.0000e+00	9.5000e-02
UBR4	ENST00000375254	1.0000e+00	6.2772e-02	4.2000e-02	9.5000e-02
STAT3	ENST00000264657	1.0000e+00	1.9945e-02	6.0000e-03	9.5000e-02
IGF2BP3	ENST00000258729	9.9999e-01	0.0000e+00	0.0000e+00	9.5000e-02
NSD1	ENST00000439151	1.0000e+00	4.5197e-02	2.3000e-02	9.5000e-02
SRCAP	ENST00000262518	1.0000e+00	4.8453e-02	2.6000e-02	9.6000e-02
ZNF777	ENST00000247930	9.9998e-01	0.0000e+00	0.0000e+00	9.6000e-02
HNRNPK	ENST00000376263	9.9998e-01	0.0000e+00	0.0000e+00	9.6000e-02
SCAF8	ENST00000367178	1.0000e+00	3.0519e-02	1.1000e-02	9.6000e-02
ARID2	ENST00000334344	1.0000e+00	3.7297e-02	1.6000e-02	9.6000e-02
CCT3	ENST00000295688	9.9998e-01	0.0000e+00	0.0000e+00	9.7000e-02
COL5A2	ENST00000374866	1.0000e+00	4.2311e-02	2.0000e-02	9.7000e-02
PHC3	ENST00000495893	1.0000e+00	2.0360e-02	6.0000e-03	9.7000e-02
GATAD2B	ENST00000368655	9.9998e-01	0.0000e+00	0.0000e+00	9.7000e-02
FBXO11	ENST00000403359	1.0000e+00	2.0460e-02	6.0000e-03	9.7000e-02
NOTCH1	ENST00000277541	1.0000e+00	4.6153e-02	2.3000e-02	9.7000e-02
COL3A1	ENST00000304636	1.0000e+00	4.2706e-02	2.0000e-02	9.8000e-02
PPP3CB	ENST00000394829	9.9998e-01	0.0000e+00	0.0000e+00	9.8000e-02
ILF3	ENST00000449870	1.0000e+00	2.0650e-02	6.0000e-03	9.8000e-02
PLEKHA5	ENST00000429027	1.0000e+00	3.7955e-02	1.6000e-02	9.8000e-02
ZNF521	ENST00000361524	1.0000e+00	2.0618e-02	6.0000e-03	9.8000e-02
TAB2	ENST00000367456	9.9998e-01	0.0000e+00	0.0000e+00	9.8000e-02
CTNND2	ENST00000304623	1.0000e+00	3.1044e-02	1.2000e-02	9.8000e-02
DDX5	ENST00000225792	9.9998e-01	0.0000e+00	0.0000e+00	9.8000e-02
ACTN4	ENST00000252699	1.0000e+00	2.0770e-02	6.0000e-03	9.9000e-02
UPF2	ENST00000356352	1.0000e+00	3.1537e-02	1.2000e-02	9.9000e-02
CARM1	ENST00000327064	9.9998e-01	0.0000e+00	0.0000e+00	9.9000e-02
PAXIP1	ENST00000404141	1.0000e+00	3.1490e-02	1.2000e-02	9.9000e-02
BPTF	ENST00000306378	1.0000e+00	5.2698e-02	2.9000e-02	9.9000e-02
EP300	ENST00000263253	1.0000e+00	4.9966e-02	2.6000e-02	9.9000e-02
FBXL19	ENST00000380310	9.9997e-01	0.0000e+00	0.0000e+00	1.0000e-01
CREBRF	ENST00000296953	9.9997e-01	0.0000e+00	0.0000e+00	1.0000e-01
HDAC2	ENST00000519065	9.9997e-01	0.0000e+00	0.0000e+00	1.0000e-01
SP1	ENST00000327443	9.9997e-01	0.0000e+00	0.0000e+00	1.0000e-01
MAPK8IP2	ENST00000329492	9.9997e-01	0.0000e+00	0.0000e+00	1.0000e-01
AP2A1	ENST00000359032	1.0000e+00	2.1266e-02	7.0000e-03	1.0100e-01
ARCN1	ENST00000264028	9.9997e-01	0.0000e+00	0.0000e+00	1.0100e-01
SPTAN1	ENST00000372739	1.0000e+00	5.5885e-02	3.2000e-02	1.0100e-01
RPTOR	ENST00000306801	1.0000e+00	3.9042e-02	1.7000e-02	1.0100e-01
CAND1	ENST00000545606	1.0000e+00	2.1234e-02	7.0000e-03	1.0100e-01
COPS2	ENST00000299259	9.9997e-01	0.0000e+00	0.0000e+00	1.0100e-01
SALL4	ENST00000217086	9.9997e-01	0.0000e+00	0.0000e+00	1.0100e-01
CACNA1C	ENST00000347598	1.0000e+00	4.8672e-02	2.4000e-02	1.0200e-01
ARID1B	ENST00000346085	1.0000e+00	4.4396e-02	2.1000e-02	1.0200e-01
PSMD2	ENST00000310118	1.0000e+00	2.1599e-02	7.0000e-03	1.0200e-01
PSMD3	ENST00000264639	9.9997e-01	0.0000e+00	0.0000e+00	1.0200e-01
KMT2D	ENST00000301067	1.0000e+00	6.6852e-02	4.4000e-02	1.0300e-01
UBAP2L	ENST00000428931	1.0000e+00	3.2590e-02	1.2000e-02	1.0300e-01
ZNF148	ENST00000360647	9.9997e-01	0.0000e+00	0.0000e+00	1.0300e-01
BTK	ENST00000308731	9.9996e-01	0.0000e+00	0.0000e+00	1.0300e-01
RRM1	ENST00000300738	1.0000e+00	2.1629e-02	7.0000e-03	1.0300e-01
PPP2R5E	ENST00000337537	9.9997e-01	0.0000e+00	0.0000e+00	1.0300e-01
RFX3	ENST00000382004	1.0000e+00	2.1827e-02	7.0000e-03	1.0400e-01
BIRC6	ENST00000421745	1.0000e+00	6.6571e-02	4.3000e-02	1.0400e-01
LMNB2	ENST00000325327	9.9996e-01	0.0000e+00	0.0000e+00	1.0400e-01
CLTC	ENST00000269122	1.0000e+00	4.5332e-02	2.1000e-02	1.0400e-01
COPA	ENST00000368069	1.0000e+00	4.0587e-02	1.7000e-02	1.0500e-01
COL1A1	ENST00000225964	1.0000e+00	4.6100e-02	2.2000e-02	1.0500e-01
DHX15	ENST00000336812	1.0000e+00	2.2077e-02	7.0000e-03	1.0500e-01
DHX9	ENST00000367549	1.0000e+00	4.0774e-02	1.8000e-02	1.0500e-01
MAP2	ENST00000360351	1.0000e+00	3.3266e-02	1.3000e-02	1.0500e-01
ZMYM3	ENST00000353904	1.0000e+00	2.2443e-02	7.0000e-03	1.0600e-01
AGO2	ENST00000220592	1.0000e+00	2.2251e-02	7.0000e-03	1.0600e-01
ANK2	ENST00000357077	1.0000e+00	6.2573e-02	3.8000e-02	1.0600e-01
RALGAPB	ENST00000262879	1.0000e+00	4.1206e-02	1.8000e-02	1.0600e-01
IPO7	ENST00000379719	1.0000e+00	3.3534e-02	1.3000e-02	1.0600e-01
PRPF19	ENST00000227524	9.9995e-01	0.0000e+00	0.0000e+00	1.0600e-01
SCAF4	ENST00000286835	1.0000e+00	3.3544e-02	1.3000e-02	1.0600e-01
TBL1XR1	ENST00000430069	9.9995e-01	0.0000e+00	0.0000e+00	1.0600e-01
ZCCHC11	ENST00000257177	1.0000e+00	4.6618e-02	2.2000e-02	1.0700e-01
ZCCHC6	ENST00000375963	1.0000e+00	4.1431e-02	1.8000e-02	1.0700e-01
ANKRD11	ENST00000301030	1.0000e+00	4.6779e-02	2.2000e-02	1.0700e-01
PAFAH1B1	ENST00000397195	9.9995e-01	0.0000e+00	0.0000e+00	1.0700e-01
ZEB2	ENST00000558170	1.0000e+00	2.2589e-02	7.0000e-03	1.0700e-01
AP2A2	ENST00000448903	1.0000e+00	2.2726e-02	7.0000e-03	1.0800e-01
SMU1	ENST00000397149	9.9994e-01	0.0000e+00	0.0000e+00	1.0800e-01
NAA25	ENST00000261745	1.0000e+00	3.4183e-02	1.3000e-02	1.0800e-01
UBA1	ENST00000335972	1.0000e+00	2.2675e-02	7.0000e-03	1.0800e-01
BAZ1B	ENST00000339594	1.0000e+00	4.2263e-02	1.8000e-02	1.0900e-01
HNRNPH1	ENST00000356731	9.9993e-01	0.0000e+00	0.0000e+00	1.0900e-01
VPRBP	ENST00000423656	1.0000e+00	2.3066e-02	7.0000e-03	1.0900e-01
CTIF	ENST00000382998	9.9994e-01	0.0000e+00	0.0000e+00	1.0900e-01
ABCB7	ENST00000253577	9.9994e-01	0.0000e+00	0.0000e+00	1.0900e-01
UTP15	ENST00000296792	9.9993e-01	0.0000e+00	0.0000e+00	1.1000e-01
SETBP1	ENST00000282030	1.0000e+00	2.3109e-02	7.0000e-03	1.1000e-01
ARID5B	ENST00000279873	1.0000e+00	2.3254e-02	7.0000e-03	1.1000e-01
RBM10	ENST00000377604	1.0000e+00	2.3218e-02	7.0000e-03	1.1000e-01
TPR	ENST00000367478	1.0000e+00	6.3762e-02	3.7000e-02	1.1100e-01
RCOR1	ENST00000262241	9.9992e-01	0.0000e+00	0.0000e+00	1.1100e-01
SUFU	ENST00000369902	9.9992e-01	0.0000e+00	0.0000e+00	1.1100e-01
TRPS1	ENST00000395715	1.0000e+00	2.3333e-02	7.0000e-03	1.1100e-01
MTA1	ENST00000331320	1.0000e+00	2.3416e-02	7.0000e-03	1.1100e-01
RUVBL2	ENST00000595090	9.9992e-01	0.0000e+00	0.0000e+00	1.1100e-01
EIF4G3	ENST00000602326	1.0000e+00	4.9150e-02	2.3000e-02	1.1200e-01
MDM4	ENST00000367182	9.9992e-01	0.0000e+00	0.0000e+00	1.1200e-01
NTRK2	ENST00000376214	1.0000e+00	2.3575e-02	7.0000e-03	1.1200e-01
ANKHD1	ENST00000297183	1.0000e+00	5.6598e-02	3.0000e-02	1.1200e-01
ANKHD1-EIF4EBP3	ENST00000532219	1.0000e+00	5.6598e-02	3.0000e-02	1.1200e-01
RORB	ENST00000376896	9.9991e-01	0.0000e+00	0.0000e+00	1.1200e-01
TIAL1	ENST00000369093	9.9992e-01	0.0000e+00	0.0000e+00	1.1200e-01
NRXN3	ENST00000554719	1.0000e+00	2.3512e-02	7.0000e-03	1.1200e-01
PTPRD	ENST00000381196	1.0000e+00	5.3067e-02	2.7000e-02	1.1200e-01
WAPAL	ENST00000298767	1.0000e+00	3.5428e-02	1.3000e-02	1.1200e-01
RBM26	ENST00000267229	1.0000e+00	3.5521e-02	1.4000e-02	1.1200e-01
RIF1	ENST00000243326	1.0000e+00	5.7117e-02	3.0000e-02	1.1300e-01
NLK	ENST00000407008	9.9991e-01	0.0000e+00	0.0000e+00	1.1300e-01
